date,team,opponent,teamOdds,drawOdds,opponentOdds
12-Mar-16,Leicester,Wasps,2.96,21.45,1.42
18-Mar-16,Bath,Newcastle,1.22,24.05,4.35
18-Mar-16,Newcastle,Bath,4.35,24.05,1.22
19-Mar-16,Harlequins,Worcester,1.31,22.79,3.46
19-Mar-16,Worcester,Harlequins,3.46,22.79,1.31
20-Mar-16,Leicester,Saracens,1.55,19.75,2.55
20-Mar-16,London Irish,Gloucester,2.62,20.83,1.51
20-Mar-16,Wasps,Sale,1.13,30.39,6.14
20-Mar-16,Exeter,Northampton,1.41,21.55,3
20-Mar-16,Saracens,Leicester,2.55,19.75,1.55
20-Mar-16,Gloucester,London Irish,1.51,20.83,2.62
20-Mar-16,Sale,Wasps,6.14,30.39,1.13
20-Mar-16,Northampton,Exeter,3,21.55,1.41
26-Mar-16,Gloucester,Bath,1.68,18.94,2.25
26-Mar-16,Worcester,London Irish,1.33,21.47,3.46
26-Mar-16,Saracens,Exeter,1.24,23.98,4.19
26-Mar-16,Bath,Gloucester,2.25,18.94,1.68
26-Mar-16,London Irish,Worcester,3.46,21.47,1.33
26-Mar-16,Exeter,Saracens,4.19,23.98,1.24
27-Mar-16,Northampton,Harlequins,1.3,22.71,3.59
27-Mar-16,Newcastle,Wasps,3.2,21.45,1.38
27-Mar-16,Sale,Leicester,2.15,19.42,1.74
27-Mar-16,Harlequins,Northampton,3.59,22.71,1.3
27-Mar-16,Wasps,Newcastle,1.38,21.45,3.2
27-Mar-16,Leicester,Sale,1.74,19.42,2.15
01-Apr-16,Bath,Saracens,2.97,20.97,1.42
01-Apr-16,Saracens,Bath,1.42,20.97,2.97
02-Apr-16,Leicester,Gloucester,1.13,30.57,6.33
02-Apr-16,Exeter,Worcester,1.14,28.97,6.02
02-Apr-16,Harlequins,Newcastle,1.14,28.34,5.86
02-Apr-16,London Irish,Sale,1.95,19.83,1.95
02-Apr-16,Gloucester,Leicester,6.33,30.57,1.13
02-Apr-16,Worcester,Exeter,6.02,28.97,1.14
02-Apr-16,Newcastle,Harlequins,5.86,28.34,1.14
02-Apr-16,Sale,London Irish,1.95,19.83,1.95
03-Apr-16,Wasps,Northampton,1.37,22.52,3.16
03-Apr-16,Northampton,Wasps,3.16,22.52,1.37
15-Apr-16,Gloucester,Exeter,2.42,19.73,1.59
15-Apr-16,Exeter,Gloucester,1.59,19.73,2.42
16-Apr-16,Northampton,Leicester,1.75,19.26,2.13
16-Apr-16,Saracens,Harlequins,1.23,24.52,4.23
16-Apr-16,Worcester,Wasps,3.4,23.26,1.33
16-Apr-16,Leicester,Northampton,2.13,19.26,1.75
16-Apr-16,Harlequins,Saracens,4.23,24.52,1.23
16-Apr-16,Wasps,Worcester,1.33,23.26,3.4
17-Apr-16,Newcastle,London Irish,1.44,21.23,2.85
17-Apr-16,Sale,Bath,1.47,21.25,2.71
17-Apr-16,London Irish,Newcastle,2.85,21.23,1.44
17-Apr-16,Bath,Sale,2.71,21.25,1.47
23-Apr-16,Bath,Sale,1.58,20.37,2.45
23-Apr-16,Sale,Bath,2.45,20.37,1.58
29-Apr-16,Sale,Gloucester,1.31,22.68,3.53
29-Apr-16,Gloucester,Sale,3.53,22.68,1.31
30-Apr-16,Northampton,Bath,1.25,23.29,4.04
30-Apr-16,Leicester,Worcester,1.1,33.35,6.71
30-Apr-16,Bath,Northampton,4.04,23.29,1.25
30-Apr-16,Worcester,Leicester,6.71,33.35,1.1
01-May-16,Saracens,Newcastle,1.05,37.09,9.75
01-May-16,London Irish,Harlequins,3.19,22.9,1.37
01-May-16,Exeter,Wasps,1.75,20.72,2.13
01-May-16,Newcastle,Saracens,9.75,37.09,1.05
01-May-16,Harlequins,London Irish,1.37,22.9,3.19
01-May-16,Wasps,Exeter,2.13,20.72,1.75
07-May-16,Bath,Leicester,1.22,23.67,4.27
07-May-16,Gloucester,Northampton,2.42,20.09,1.58
07-May-16,Harlequins,Exeter,2.06,18.89,1.82
07-May-16,Newcastle,Sale,2.56,19.66,1.53
07-May-16,Wasps,London Irish,1.01,44.46,21.45
07-May-16,Worcester,Saracens,3.19,22.68,1.36
07-May-16,Leicester,Bath,4.27,23.67,1.22
07-May-16,Northampton,Gloucester,1.58,20.09,2.42
07-May-16,Exeter,Harlequins,1.82,18.89,2.06
07-May-16,Sale,Newcastle,1.53,19.66,2.56
07-May-16,London Irish,Wasps,21.45,44.46,1.01
07-May-16,Saracens,Worcester,1.36,22.68,3.19
21-May-16,Exeter,Wasps,1.56,19.08,2.53
21-May-16,Saracens,Leicester,1.26,21.85,4.13
21-May-16,Wasps,Exeter,2.53,19.08,1.56
21-May-16,Leicester,Saracens,4.13,21.85,1.26
28-May-16,Saracens,Exeter,1.21,24.05,4.87
28-May-16,Exeter,Saracens,4.87,24.05,1.21
02-Sep-16,Newcastle,Sale,2.15,20.37,1.75
02-Sep-16,Gloucester,Leicester,2.11,19.89,1.78
02-Sep-16,Sale,Newcastle,1.75,20.37,2.15
02-Sep-16,Leicester,Gloucester,1.78,19.89,2.11
03-Sep-16,Harlequins,Bristol,1.11,29.48,6.8
03-Sep-16,Northampton,Bath,1.4,21.36,3.09
03-Sep-16,Saracens,Worcester,1.03,41.37,12.49
03-Sep-16,Bristol,Harlequins,6.8,29.48,1.11
03-Sep-16,Bath,Northampton,3.09,21.36,1.4
03-Sep-16,Worcester,Saracens,12.49,41.37,1.03
04-Sep-16,Wasps,Exeter,1.63,20.69,2.36
04-Sep-16,Exeter,Wasps,2.36,20.69,1.63
09-Sep-16,Sale,Harlequins,1.77,20.24,2.13
09-Sep-16,Worcester,Gloucester,2.37,20.52,1.62
09-Sep-16,Harlequins,Sale,2.13,20.24,1.77
09-Sep-16,Gloucester,Worcester,1.62,20.52,2.37
10-Sep-16,Bath,Newcastle,1.14,27.74,5.85
10-Sep-16,Leicester,Wasps,1.47,20.29,2.86
10-Sep-16,Newcastle,Bath,5.85,27.74,1.14
10-Sep-16,Wasps,Leicester,2.86,20.29,1.47
11-Sep-16,Bristol,Northampton,3.82,23.17,1.29
11-Sep-16,Exeter,Saracens,2.21,20.52,1.71
11-Sep-16,Northampton,Bristol,1.29,23.17,3.82
11-Sep-16,Saracens,Exeter,1.71,20.52,2.21
16-Sep-16,Sale,Gloucester,1.54,21.08,2.58
16-Sep-16,Gloucester,Sale,2.58,21.08,1.54
17-Sep-16,Bath,Worcester,1.07,34.61,8.71
17-Sep-16,Exeter,Harlequins,1.19,25.63,4.9
17-Sep-16,Saracens,Northampton,1.15,28.91,5.5
17-Sep-16,Worcester,Bath,8.71,34.61,1.07
17-Sep-16,Harlequins,Exeter,4.9,25.63,1.19
17-Sep-16,Northampton,Saracens,5.5,28.91,1.15
18-Sep-16,Newcastle,Leicester,3.59,23.09,1.31
18-Sep-16,Wasps,Bristol,1.04,37.78,12.19
18-Sep-16,Leicester,Newcastle,1.31,23.09,3.59
18-Sep-16,Bristol,Wasps,12.19,37.78,1.04
23-Sep-16,Bristol,Exeter,6.75,30.34,1.11
23-Sep-16,Exeter,Bristol,1.11,30.34,6.75
24-Sep-16,Gloucester,Newcastle,1.16,26.12,5.58
24-Sep-16,Harlequins,Saracens,3.73,23.77,1.29
24-Sep-16,Northampton,Wasps,1.69,20.67,2.23
24-Sep-16,Worcester,Sale,1.7,20.02,2.23
24-Sep-16,Newcastle,Gloucester,5.58,26.12,1.16
24-Sep-16,Saracens,Harlequins,1.29,23.77,3.73
24-Sep-16,Wasps,Northampton,2.23,20.67,1.69
24-Sep-16,Sale,Worcester,2.23,20.02,1.7
25-Sep-16,Leicester,Bath,1.56,20.84,2.52
25-Sep-16,Bath,Leicester,2.52,20.84,1.56
30-Sep-16,Bristol,Saracens,13.53,42.92,1.03
30-Sep-16,Northampton,Exeter,1.56,20.63,2.55
30-Sep-16,Saracens,Bristol,1.03,42.92,13.53
30-Sep-16,Exeter,Northampton,2.55,20.63,1.56
01-Oct-16,Gloucester,Bath,1.83,18.99,2.06
01-Oct-16,Sale,Leicester,2.19,19.75,1.72
01-Oct-16,Bath,Gloucester,2.06,18.99,1.83
01-Oct-16,Leicester,Sale,1.72,19.75,2.19
02-Oct-16,Worcester,Newcastle,1.61,20.41,2.4
02-Oct-16,Wasps,Harlequins,1.15,26.16,5.59
02-Oct-16,Newcastle,Worcester,2.4,20.41,1.61
02-Oct-16,Harlequins,Wasps,5.59,26.16,1.15
07-Oct-16,Bath,Sale,1.22,24.61,4.42
07-Oct-16,Sale,Bath,4.42,24.61,1.22
08-Oct-16,Exeter,Gloucester,1.14,29.1,5.99
08-Oct-16,Harlequins,Northampton,1.68,19.97,2.26
08-Oct-16,Leicester,Worcester,1.1,31.12,7.06
08-Oct-16,Newcastle,Bristol,1.21,24.27,4.52
08-Oct-16,Gloucester,Exeter,5.99,29.1,1.14
08-Oct-16,Northampton,Harlequins,2.26,19.97,1.68
08-Oct-16,Worcester,Leicester,7.06,31.12,1.1
08-Oct-16,Bristol,Newcastle,4.52,24.27,1.21
09-Oct-16,Saracens,Wasps,1.42,20.91,3.01
09-Oct-16,Wasps,Saracens,3.01,20.91,1.42
28-Oct-16,Northampton,Gloucester,1.3,22.76,3.62
28-Oct-16,Gloucester,Northampton,3.62,22.76,1.3
29-Oct-16,Harlequins,Worcester,1.13,29.97,6.13
29-Oct-16,Saracens,Leicester,1.13,27.14,6.31
29-Oct-16,Worcester,Harlequins,6.13,29.97,1.13
29-Oct-16,Leicester,Saracens,6.31,27.14,1.13
30-Oct-16,Bristol,Sale,2.74,20.61,1.48
30-Oct-16,Exeter,Bath,1.52,19.84,2.64
30-Oct-16,Wasps,Newcastle,1.03,42.48,12.28
30-Oct-16,Sale,Bristol,1.48,20.61,2.74
30-Oct-16,Bath,Exeter,2.64,19.84,1.52
30-Oct-16,Newcastle,Wasps,12.28,42.48,1.03
18-Nov-16,Newcastle,Exeter,3.16,21.84,1.38
18-Nov-16,Bath,Bristol,1.09,34.69,7.35
18-Nov-16,Worcester,Northampton,2.07,18.51,1.79
18-Nov-16,Exeter,Newcastle,1.38,21.84,3.16
18-Nov-16,Bristol,Bath,7.35,34.69,1.09
18-Nov-16,Northampton,Worcester,1.79,18.51,2.07
19-Nov-16,Gloucester,Wasps,2.64,21.26,1.52
19-Nov-16,Wasps,Gloucester,1.52,21.26,2.64
20-Nov-16,Leicester,Harlequins,1.22,23.99,4.5
20-Nov-16,Sale,Saracens,2.27,20.11,1.69
20-Nov-16,Harlequins,Leicester,4.5,23.99,1.22
20-Nov-16,Saracens,Sale,1.69,20.11,2.27
25-Nov-16,Bristol,Leicester,5.05,26.89,1.18
25-Nov-16,Northampton,Newcastle,1.17,25.42,5.25
25-Nov-16,Leicester,Bristol,1.18,26.89,5.05
25-Nov-16,Newcastle,Northampton,5.25,25.42,1.17
26-Nov-16,Exeter,Worcester,1.06,37.92,9.28
26-Nov-16,Worcester,Exeter,9.28,37.92,1.06
27-Nov-16,Harlequins,Bath,1.46,20.75,2.8
27-Nov-16,Wasps,Sale,1.14,29.56,5.98
27-Nov-16,Saracens,Gloucester,1.13,29.44,6.17
27-Nov-16,Bath,Harlequins,2.8,20.75,1.46
27-Nov-16,Sale,Wasps,5.98,29.56,1.14
27-Nov-16,Gloucester,Saracens,6.17,29.44,1.13
02-Dec-16,Sale,Exeter,2.32,19.73,1.66
02-Dec-16,Exeter,Sale,1.66,19.73,2.32
03-Dec-16,Leicester,Northampton,1.36,21.69,3.29
03-Dec-16,Gloucester,Bristol,1.12,29.72,6.32
03-Dec-16,Bath,Saracens,2.32,20,1.66
03-Dec-16,Northampton,Leicester,3.29,21.69,1.36
03-Dec-16,Bristol,Gloucester,6.32,29.72,1.12
03-Dec-16,Saracens,Bath,1.66,20,2.32
04-Dec-16,Newcastle,Harlequins,2.23,19.52,1.71
04-Dec-16,Worcester,Wasps,2.76,21.34,1.5
04-Dec-16,Harlequins,Newcastle,1.71,19.52,2.23
04-Dec-16,Wasps,Worcester,1.5,21.34,2.76
23-Dec-16,Northampton,Sale,1.23,23.34,4.35
23-Dec-16,Sale,Northampton,4.35,23.34,1.23
24-Dec-16,Exeter,Leicester,1.31,22.23,3.67
24-Dec-16,Wasps,Bath,1.31,22.38,3.63
24-Dec-16,Saracens,Newcastle,1.03,43.4,12.75
24-Dec-16,Leicester,Exeter,3.67,22.23,1.31
24-Dec-16,Bath,Wasps,3.63,22.38,1.31
24-Dec-16,Newcastle,Saracens,12.75,43.4,1.03
26-Dec-16,Bristol,Worcester,1.64,20.12,2.36
26-Dec-16,Worcester,Bristol,2.36,20.12,1.64
27-Dec-16,Harlequins,Gloucester,1.38,22.07,3.18
27-Dec-16,Gloucester,Harlequins,3.18,22.07,1.38
30-Dec-16,Newcastle,Wasps,3.92,24.11,1.27
30-Dec-16,Wasps,Newcastle,1.27,24.11,3.92
31-Dec-16,Bath,Exeter,1.56,20.31,2.51
31-Dec-16,Exeter,Bath,2.51,20.31,1.56
01-Jan-17,Gloucester,Northampton,1.7,19.15,2.24
01-Jan-17,Leicester,Saracens,2.47,20.46,1.58
01-Jan-17,Worcester,Harlequins,2.57,20.24,1.55
01-Jan-17,Sale,Bristol,1.25,22.68,4.17
01-Jan-17,Northampton,Gloucester,2.24,19.15,1.7
01-Jan-17,Saracens,Leicester,1.58,20.46,2.47
01-Jan-17,Harlequins,Worcester,1.55,20.24,2.57
01-Jan-17,Bristol,Sale,4.17,22.68,1.25
06-Jan-17,Newcastle,Bath,2.39,19.62,1.62
06-Jan-17,Bath,Newcastle,1.62,19.62,2.39
07-Jan-17,Gloucester,Worcester,1.17,26.38,5.17
07-Jan-17,Harlequins,Sale,1.17,26.39,5.17
07-Jan-17,Northampton,Bristol,1.12,29.27,6.29
07-Jan-17,Saracens,Exeter,1.25,23.3,4.16
07-Jan-17,Worcester,Gloucester,5.17,26.38,1.17
07-Jan-17,Sale,Harlequins,5.17,26.39,1.17
07-Jan-17,Bristol,Northampton,6.29,29.27,1.12
07-Jan-17,Exeter,Saracens,4.16,23.3,1.25
08-Jan-17,Wasps,Leicester,1.14,29.03,5.82
08-Jan-17,Leicester,Wasps,5.82,29.03,1.14
10-Feb-17,Sale,Newcastle,1.53,19.11,2.59
10-Feb-17,Bath,Northampton,1.45,20.67,2.87
10-Feb-17,Bristol,Harlequins,1.43,20.53,2.93
10-Feb-17,Newcastle,Sale,2.59,19.11,1.53
10-Feb-17,Northampton,Bath,2.87,20.67,1.45
10-Feb-17,Harlequins,Bristol,2.93,20.53,1.43
11-Feb-17,Leicester,Gloucester,1.36,22.22,3.22
11-Feb-17,Worcester,Saracens,3.58,22.25,1.3
11-Feb-17,Gloucester,Leicester,3.22,22.22,1.36
11-Feb-17,Saracens,Worcester,1.3,22.25,3.58
12-Feb-17,Exeter,Wasps,1.6,19.93,2.41
12-Feb-17,Wasps,Exeter,2.41,19.93,1.6
17-Feb-17,Gloucester,Saracens,2.55,19.81,1.57
17-Feb-17,Saracens,Gloucester,1.57,19.81,2.55
18-Feb-17,Bath,Harlequins,1.21,24.6,4.58
18-Feb-17,Leicester,Bristol,1.03,43.88,12.43
18-Feb-17,Worcester,Exeter,2.92,21.32,1.43
18-Feb-17,Harlequins,Bath,4.58,24.6,1.21
18-Feb-17,Bristol,Leicester,12.43,43.88,1.03
18-Feb-17,Exeter,Worcester,1.43,21.32,2.92
19-Feb-17,Newcastle,Northampton,1.7,20.78,2.22
19-Feb-17,Sale,Wasps,3.49,22.34,1.34
19-Feb-17,Northampton,Newcastle,2.22,20.78,1.7
19-Feb-17,Wasps,Sale,1.34,22.34,3.49
24-Feb-17,Harlequins,Leicester,2.18,20.69,1.73
24-Feb-17,Leicester,Harlequins,1.73,20.69,2.18
25-Feb-17,Exeter,Newcastle,1.21,24.5,4.51
25-Feb-17,Northampton,Worcester,1.23,23.17,4.36
25-Feb-17,Saracens,Sale,1.17,26.6,5.21
25-Feb-17,Newcastle,Exeter,4.51,24.5,1.21
25-Feb-17,Worcester,Northampton,4.36,23.17,1.23
25-Feb-17,Sale,Saracens,5.21,26.6,1.17
26-Feb-17,Bristol,Bath,3.49,22.95,1.33
26-Feb-17,Wasps,Gloucester,1.16,29.42,5.38
26-Feb-17,Bath,Bristol,1.33,22.95,3.49
26-Feb-17,Gloucester,Wasps,5.38,29.42,1.16
03-Mar-17,Sale,Northampton,1.52,19.89,2.65
03-Mar-17,Leicester,Exeter,1.59,19.36,2.49
03-Mar-17,Northampton,Sale,2.65,19.89,1.52
03-Mar-17,Exeter,Leicester,2.49,19.36,1.59
04-Mar-17,Bath,Wasps,2.18,19.24,1.76
04-Mar-17,Gloucester,Harlequins,1.28,23.07,3.87
04-Mar-17,Wasps,Bath,1.76,19.24,2.18
04-Mar-17,Harlequins,Gloucester,3.87,23.07,1.28
05-Mar-17,Worcester,Bristol,1.47,20.3,2.79
05-Mar-17,Newcastle,Saracens,2.95,20.83,1.43
05-Mar-17,Bristol,Worcester,2.79,20.3,1.47
05-Mar-17,Saracens,Newcastle,1.43,20.83,2.95
24-Mar-17,Bristol,Gloucester,2.52,20.42,1.55
24-Mar-17,Gloucester,Bristol,1.55,20.42,2.52
25-Mar-17,Exeter,Sale,1.07,35.46,9.09
25-Mar-17,Harlequins,Newcastle,1.21,27.15,4.53
25-Mar-17,Northampton,Leicester,1.56,19.88,2.54
25-Mar-17,Sale,Exeter,9.09,35.46,1.07
25-Mar-17,Newcastle,Harlequins,4.53,27.15,1.21
25-Mar-17,Leicester,Northampton,2.54,19.88,1.56
26-Mar-17,Saracens,Bath,1.23,23.79,4.27
26-Mar-17,Wasps,Worcester,1.03,42.1,12.6
26-Mar-17,Bath,Saracens,4.27,23.79,1.23
26-Mar-17,Worcester,Wasps,12.6,42.1,1.03
07-Apr-17,Newcastle,Gloucester,1.57,21.14,2.5
07-Apr-17,Sale,Worcester,1.4,22.86,3.07
07-Apr-17,Gloucester,Newcastle,2.5,21.14,1.57
07-Apr-17,Worcester,Sale,3.07,22.86,1.4
08-Apr-17,Saracens,Harlequins,1.15,26.84,5.56
08-Apr-17,Exeter,Bristol,1.02,44.62,14.67
08-Apr-17,Bath,Leicester,1.87,19.86,2.01
08-Apr-17,Harlequins,Saracens,5.56,26.84,1.15
08-Apr-17,Bristol,Exeter,14.67,44.62,1.02
08-Apr-17,Leicester,Bath,2.01,19.86,1.87
09-Apr-17,Wasps,Northampton,1.17,27.87,5.12
09-Apr-17,Northampton,Wasps,5.12,27.87,1.17
14-Apr-17,Harlequins,Exeter,1.66,21.32,2.28
14-Apr-17,Exeter,Harlequins,2.28,21.32,1.66
15-Apr-17,Gloucester,Sale,1.35,23.13,3.24
15-Apr-17,Leicester,Newcastle,1.1,30.17,6.82
15-Apr-17,Worcester,Bath,3.38,23.02,1.35
15-Apr-17,Sale,Gloucester,3.24,23.13,1.35
15-Apr-17,Newcastle,Leicester,6.82,30.17,1.1
15-Apr-17,Bath,Worcester,1.35,23.02,3.38
16-Apr-17,Bristol,Wasps,7.23,32.52,1.09
16-Apr-17,Northampton,Saracens,1.81,19.6,2.1
16-Apr-17,Wasps,Bristol,1.09,32.52,7.23
16-Apr-17,Saracens,Northampton,2.1,19.6,1.81
28-Apr-17,Newcastle,Worcester,1.4,22.27,3
28-Apr-17,Harlequins,Wasps,2.14,21.72,1.76
28-Apr-17,Worcester,Newcastle,3,22.27,1.4
28-Apr-17,Wasps,Harlequins,1.76,21.72,2.14
29-Apr-17,Exeter,Northampton,1.28,23,3.75
29-Apr-17,Leicester,Sale,1.09,32.84,7.33
29-Apr-17,Saracens,Bristol,1.01,53,19.89
29-Apr-17,Northampton,Exeter,3.75,23,1.28
29-Apr-17,Sale,Leicester,7.33,32.84,1.09
29-Apr-17,Bristol,Saracens,19.89,53,1.01
30-Apr-17,Bath,Gloucester,1.41,21.14,3.02
30-Apr-17,Gloucester,Bath,3.02,21.14,1.41
06-May-17,Bristol,Newcastle,2.37,20.94,1.6
06-May-17,Gloucester,Exeter,3.08,23.39,1.38
06-May-17,Northampton,Harlequins,1.43,21.11,2.88
06-May-17,Sale,Bath,2.29,20.54,1.65
06-May-17,Wasps,Saracens,1.35,22.71,3.31
06-May-17,Worcester,Leicester,2.79,21.42,1.46
06-May-17,Newcastle,Bristol,1.6,20.94,2.37
06-May-17,Exeter,Gloucester,1.38,23.39,3.08
06-May-17,Harlequins,Northampton,2.88,21.11,1.43
06-May-17,Bath,Sale,1.65,20.54,2.29
06-May-17,Saracens,Wasps,3.31,22.71,1.35
06-May-17,Leicester,Worcester,1.46,21.42,2.79
20-May-17,Wasps,Leicester,1.23,25.72,4.22
20-May-17,Exeter,Saracens,3.04,20.83,1.42
20-May-17,Leicester,Wasps,4.22,25.72,1.23
20-May-17,Saracens,Exeter,1.42,20.83,3.04
27-May-17,Wasps,Exeter,1.98,21.12,1.99
27-May-17,Exeter,Wasps,1.99,21.12,1.98
01-Sep-17,Gloucester,Exeter,2.48,21.29,1.58
01-Sep-17,Newcastle,Worcester,1.36,22.08,3.3
01-Sep-17,Exeter,Gloucester,1.58,21.29,2.48
01-Sep-17,Worcester,Newcastle,3.3,22.08,1.36
02-Sep-17,London Irish,Harlequins,4.32,24.58,1.22
02-Sep-17,Wasps,Sale,1.17,27.82,4.99
02-Sep-17,Saracens,Northampton,1.17,23.83,6.21
02-Sep-17,Harlequins,London Irish,1.22,24.58,4.32
02-Sep-17,Sale,Wasps,4.99,27.82,1.17
02-Sep-17,Northampton,Saracens,6.21,23.83,1.17
03-Sep-17,Leicester,Bath,1.34,21.75,3.38
03-Sep-17,Bath,Leicester,3.38,21.75,1.34
08-Sep-17,Sale,Newcastle,1.43,20.35,2.98
08-Sep-17,Newcastle,Sale,2.98,20.35,1.43
09-Sep-17,Northampton,Leicester,1.91,19.79,1.94
09-Sep-17,Exeter,London Irish,1.1,31.77,6.87
09-Sep-17,Harlequins,Gloucester,1.5,21.32,2.66
09-Sep-17,Bath,Saracens,2.74,20.01,1.49
09-Sep-17,Leicester,Northampton,1.94,19.79,1.91
09-Sep-17,London Irish,Exeter,6.87,31.77,1.1
09-Sep-17,Gloucester,Harlequins,2.66,21.32,1.5
09-Sep-17,Saracens,Bath,1.49,20.01,2.74
10-Sep-17,Worcester,Wasps,5.06,23.57,1.19
10-Sep-17,Wasps,Worcester,1.19,23.57,5.06
15-Sep-17,Sale,London Irish,1.22,24.77,4.4
15-Sep-17,Northampton,Bath,1.81,20.36,2.05
15-Sep-17,Worcester,Exeter,4.91,25.08,1.18
15-Sep-17,London Irish,Sale,4.4,24.77,1.22
15-Sep-17,Bath,Northampton,2.05,20.36,1.81
15-Sep-17,Exeter,Worcester,1.18,25.08,4.91
16-Sep-17,Newcastle,Saracens,7.76,37.15,1.08
16-Sep-17,Leicester,Gloucester,1.24,23.32,4.15
16-Sep-17,Saracens,Newcastle,1.08,37.15,7.76
16-Sep-17,Gloucester,Leicester,4.15,23.32,1.24
17-Sep-17,Wasps,Harlequins,1.15,26.45,5.46
17-Sep-17,Harlequins,Wasps,5.46,26.45,1.15
22-Sep-17,Gloucester,Worcester,1.13,29.24,5.94
22-Sep-17,Worcester,Gloucester,5.94,29.24,1.13
23-Sep-17,Bath,Newcastle,1.15,27.52,5.47
23-Sep-17,Harlequins,Leicester,1.67,20.29,2.26
23-Sep-17,Saracens,Sale,1.03,39.17,11.49
23-Sep-17,Newcastle,Bath,5.47,27.52,1.15
23-Sep-17,Leicester,Harlequins,2.26,20.29,1.67
23-Sep-17,Sale,Saracens,11.49,39.17,1.03
24-Sep-17,Exeter,Wasps,1.38,21.95,3.11
24-Sep-17,London Irish,Northampton,3.71,22.98,1.34
24-Sep-17,Wasps,Exeter,3.11,21.95,1.38
24-Sep-17,Northampton,London Irish,1.34,22.98,3.71
29-Sep-17,Sale,Gloucester,1.44,21.57,2.94
29-Sep-17,Newcastle,London Irish,1.12,31.14,6.31
29-Sep-17,Worcester,Saracens,7.67,31.97,1.08
29-Sep-17,Gloucester,Sale,2.94,21.57,1.44
29-Sep-17,London Irish,Newcastle,6.31,31.14,1.12
29-Sep-17,Saracens,Worcester,1.08,31.97,7.67
30-Sep-17,Leicester,Exeter,1.81,18.82,2.13
30-Sep-17,Northampton,Harlequins,1.2,23.7,5.31
30-Sep-17,Exeter,Leicester,2.13,18.82,1.81
30-Sep-17,Harlequins,Northampton,5.31,23.7,1.2
01-Oct-17,Wasps,Bath,1.42,21.62,2.95
01-Oct-17,Bath,Wasps,2.95,21.62,1.42
06-Oct-17,Harlequins,Sale,1.35,23.28,4.36
06-Oct-17,Sale,Harlequins,4.36,23.28,1.35
07-Oct-17,Bath,Worcester,1.05,40.31,9.58
07-Oct-17,Exeter,Newcastle,1.13,29.07,5.87
07-Oct-17,Gloucester,Northampton,1.93,19.45,1.92
07-Oct-17,London Irish,Leicester,3.95,23.75,1.28
07-Oct-17,Worcester,Bath,9.58,40.31,1.05
07-Oct-17,Newcastle,Exeter,5.87,29.07,1.13
07-Oct-17,Northampton,Gloucester,1.92,19.45,1.93
07-Oct-17,Leicester,London Irish,1.28,23.75,3.95
08-Oct-17,Saracens,Wasps,1.07,33.84,9.29
08-Oct-17,Wasps,Saracens,9.29,33.84,1.07
27-Oct-17,Sale,Exeter,2.5,20.63,1.55
27-Oct-17,Exeter,Sale,1.55,20.63,2.5
28-Oct-17,Harlequins,Worcester,1.17,28.78,5.28
28-Oct-17,Northampton,Wasps,1.6,19.67,2.42
28-Oct-17,Saracens,London Irish,1.02,48.79,16.76
28-Oct-17,Worcester,Harlequins,5.28,28.78,1.17
28-Oct-17,Wasps,Northampton,2.42,19.67,1.6
28-Oct-17,London Irish,Saracens,16.76,48.79,1.02
29-Oct-17,Bath,Gloucester,1.19,24.91,4.82
29-Oct-17,Newcastle,Leicester,1.86,19.83,2
29-Oct-17,Gloucester,Bath,4.82,24.91,1.19
29-Oct-17,Leicester,Newcastle,2,19.83,1.86
17-Nov-17,Gloucester,Saracens,3.24,22.35,1.38
17-Nov-17,Saracens,Gloucester,1.38,22.35,3.24
18-Nov-17,Wasps,Newcastle,1.18,26.08,5.01
18-Nov-17,Worcester,Northampton,2.35,20.2,1.63
18-Nov-17,Newcastle,Wasps,5.01,26.08,1.18
18-Nov-17,Northampton,Worcester,1.63,20.2,2.35
19-Nov-17,Exeter,Harlequins,1.07,34.27,8.33
19-Nov-17,Leicester,Sale,1.34,22.53,3.38
19-Nov-17,London Irish,Bath,2.55,21,1.55
19-Nov-17,Harlequins,Exeter,8.33,34.27,1.07
19-Nov-17,Sale,Leicester,3.38,22.53,1.34
19-Nov-17,Bath,London Irish,1.55,21,2.55
24-Nov-17,Newcastle,Gloucester,1.46,20.64,2.75
24-Nov-17,Gloucester,Newcastle,2.75,20.64,1.46
25-Nov-17,Sale,Northampton,1.22,24,4.34
25-Nov-17,Leicester,Worcester,1.3,24.63,3.67
25-Nov-17,Bath,Harlequins,1.28,24.31,3.73
25-Nov-17,Northampton,Sale,4.34,24,1.22
25-Nov-17,Worcester,Leicester,3.67,24.63,1.3
25-Nov-17,Harlequins,Bath,3.73,24.31,1.28
26-Nov-17,London Irish,Wasps,4.77,25.9,1.19
26-Nov-17,Saracens,Exeter,1.54,20.63,2.81
26-Nov-17,Wasps,London Irish,1.19,25.9,4.77
26-Nov-17,Exeter,Saracens,2.81,20.63,1.54
01-Dec-17,Northampton,Newcastle,1.33,22.54,3.44
01-Dec-17,Worcester,Sale,1.63,19.59,2.37
01-Dec-17,Newcastle,Northampton,3.44,22.54,1.33
01-Dec-17,Sale,Worcester,2.37,19.59,1.63
02-Dec-17,Wasps,Leicester,1.39,22.03,3.1
02-Dec-17,Gloucester,London Irish,1.14,29.08,5.81
02-Dec-17,Exeter,Bath,1.22,23.39,4.95
02-Dec-17,Leicester,Wasps,3.1,22.03,1.39
